neuron,cluster_index,feature,category,category_fine,iou,feature_length,w_entail,w_neutral,w_contra
76,0,(((hyp:tok:purchase AND pre:tok:people) OR pre:tok:engage) AND hyp:tok:people),(((hyp AND pre) OR pre) AND hyp),(((hyp:tok AND pre:tok) OR pre:tok) AND hyp:tok),0.3333333333333333,4,-0.04563948,0.03152975,0.026896266
76,1,(hyp:tok:by AND pre:tok:waters),(hyp AND pre),(hyp:tok AND pre:tok),0.09090909090909091,2,-0.04563948,0.03152975,0.026896266
76,2,pre:tok:in,pre,pre:tok,0.0,1,-0.04563948,0.03152975,0.026896266
77,0,((((hyp:tok:groom OR hyp:tok:toothbrush) OR hyp:tok:outfit) AND (NOT pre:tok:on)) AND (NOT hyp:tok:is)),((((hyp OR hyp) OR hyp) AND (NOT pre)) AND (NOT hyp)),((((hyp:tok OR hyp:tok) OR hyp:tok) AND (NOT pre:tok)) AND (NOT hyp:tok)),0.125,7,-0.032825645,0.0010794705,-0.056606244
77,1,((((hyp:tok:speech OR pre:tok:washes) OR pre:tok:celebrates) AND hyp:tok:is) OR pre:tok:tricks),((((hyp OR pre) OR pre) AND hyp) OR pre),((((hyp:tok OR pre:tok) OR pre:tok) AND hyp:tok) OR pre:tok),0.0625,5,-0.032825645,0.0010794705,-0.056606244
77,2,(hyp:tok:outdoors AND pre:tok:arrive),(hyp AND pre),(hyp:tok AND pre:tok),0.1111111111111111,2,-0.032825645,0.0010794705,-0.056606244
83,0,((((hyp:tok:bikes AND pre:tok:road) OR hyp:tok:wrestlers) OR hyp:tok:hug) OR hyp:tok:crossing),((((hyp AND pre) OR hyp) OR hyp) OR hyp),((((hyp:tok AND pre:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.12195121951219512,5,0.015798438,-0.027097842,-0.026725514
83,1,(((hyp:tok:atv OR pre:tok:soup) AND hyp:tag:vbg) AND (NOT pre:tok:in)),(((hyp OR pre) AND hyp) AND (NOT pre)),(((hyp:tok OR pre:tok) AND hyp:tag) AND (NOT pre:tok)),0.1,5,0.015798438,-0.027097842,-0.026725514
83,2,((((hyp:tok:shooting AND pre:tok:near) OR pre:tok:cream) AND oth:overlap:overlap25) AND hyp:tag:dt),((((hyp AND pre) OR pre) AND oth) AND hyp),((((hyp:tok AND pre:tok) OR pre:tok) AND oth:overlap) AND hyp:tag),0.043478260869565216,5,0.015798438,-0.027097842,-0.026725514
85,0,pre:tok:in,pre,pre:tok,0.0,1,0.023714222,-0.008861668,-0.07464618
85,1,(hyp:tok:pet AND pre:tok:and),(hyp AND pre),(hyp:tok AND pre:tok),0.16666666666666666,2,0.023714222,-0.008861668,-0.07464618
85,2,pre:tok:in,pre,pre:tok,0.0,1,0.023714222,-0.008861668,-0.07464618
86,0,pre:tok:in,pre,pre:tok,0.0,1,0.048801105,-0.011612206,-0.046751846
86,1,(hyp:tok:parked AND hyp:tok:tractor),(hyp AND hyp),(hyp:tok AND hyp:tok),0.5,2,0.048801105,-0.011612206,-0.046751846
86,2,pre:tok:in,pre,pre:tok,0.0,1,0.048801105,-0.011612206,-0.046751846
87,0,(((NOT hyp:tag:jj) AND (hyp:tok:desks OR pre:tok:cook)) AND pre:tok:on),(((NOT hyp) AND (hyp OR pre)) AND pre),(((NOT hyp:tag) AND (hyp:tok OR pre:tok)) AND pre:tok),0.14285714285714285,5,-0.08595089,0.06993344,-0.03883311
87,1,((((hyp:tok:pier OR hyp:tok:single) AND pre:tok:young) OR hyp:tok:females) AND (NOT pre:tok:down)),((((hyp OR hyp) AND pre) OR hyp) AND (NOT pre)),((((hyp:tok OR hyp:tok) AND pre:tok) OR hyp:tok) AND (NOT pre:tok)),0.09375,6,-0.08595089,0.06993344,-0.03883311
87,2,((((hyp:tok:to AND pre:tok:rear) OR pre:tok:seen) AND hyp:tok:woman) AND (NOT pre:tok:is)),((((hyp AND pre) OR pre) AND hyp) AND (NOT pre)),((((hyp:tok AND pre:tok) OR pre:tok) AND hyp:tok) AND (NOT pre:tok)),0.08695652173913043,6,-0.08595089,0.06993344,-0.03883311
89,0,(((((NOT oth:overlap:overlap50) AND pre:tag:nn) AND (NOT hyp:tok:sitting)) AND (NOT hyp:tok:they)) AND (NOT pre:tok:blond)),(((((NOT oth) AND pre) AND (NOT hyp)) AND (NOT hyp)) AND (NOT pre)),(((((NOT oth:overlap) AND pre:tag) AND (NOT hyp:tok)) AND (NOT hyp:tok)) AND (NOT pre:tok)),0.05449275362318841,9,-0.05423548,0.0146743525,0.02409809
89,1,(((((NOT oth:overlap:overlap50) AND pre:tag:in) OR pre:tok:over) AND (NOT hyp:tok:wearing)) AND (NOT hyp:tok:sitting)),(((((NOT oth) AND pre) OR pre) AND (NOT hyp)) AND (NOT hyp)),(((((NOT oth:overlap) AND pre:tag) OR pre:tok) AND (NOT hyp:tok)) AND (NOT hyp:tok)),0.019739363740896895,8,-0.05423548,0.0146743525,0.02409809
89,2,(((((NOT oth:overlap:overlap25) AND pre:tag:dt) OR hyp:tok:for) OR hyp:tok:running) OR hyp:tok:son),(((((NOT oth) AND pre) OR hyp) OR hyp) OR hyp),(((((NOT oth:overlap) AND pre:tag) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.011418592154755507,6,-0.05423548,0.0146743525,0.02409809
91,0,pre:tok:in,pre,pre:tok,0.0,1,-0.056765195,0.048301887,-0.035669833
91,1,pre:tok:in,pre,pre:tok,0.0,1,-0.056765195,0.048301887,-0.035669833
91,2,pre:tok:in,pre,pre:tok,0.0,1,-0.056765195,0.048301887,-0.035669833
92,0,pre:tok:in,pre,pre:tok,0.0,1,0.07264218,0.024391834,-0.0867493
92,1,pre:tok:in,pre,pre:tok,0.0,1,0.07264218,0.024391834,-0.0867493
92,2,pre:tok:in,pre,pre:tok,0.0,1,0.07264218,0.024391834,-0.0867493
98,0,(((((NOT oth:overlap:overlap50) AND hyp:tag:.) AND (NOT hyp:tok:to)) AND hyp:tag:nn) AND (NOT hyp:tok:there)),(((((NOT oth) AND hyp) AND (NOT hyp)) AND hyp) AND (NOT hyp)),(((((NOT oth:overlap) AND hyp:tag) AND (NOT hyp:tok)) AND hyp:tag) AND (NOT hyp:tok)),0.025918329293305984,8,-0.099489525,-0.034887858,0.06074927
98,1,((((hyp:tok:in OR pre:tok:woman) OR hyp:tok:beach) AND (NOT oth:overlap:overlap75)) OR hyp:tok:bike),((((hyp OR pre) OR hyp) AND (NOT oth)) OR hyp),((((hyp:tok OR pre:tok) OR hyp:tok) AND (NOT oth:overlap)) OR hyp:tok),0.010238148230580904,6,-0.099489525,-0.034887858,0.06074927
98,2,((((hyp:tok:running OR hyp:tok:swimming) OR hyp:tok:into) OR hyp:tok:run) OR hyp:tok:runs),((((hyp OR hyp) OR hyp) OR hyp) OR hyp),((((hyp:tok OR hyp:tok) OR hyp:tok) OR hyp:tok) OR hyp:tok),0.01633605600933489,5,-0.099489525,-0.034887858,0.06074927
